,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
11391,user3,2017-03-13,user3,ODS_UNB_0410,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11392,user8,2017-03-13,user8,ODS_UNB_0410,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
12227,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12505,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12532,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12539,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12540,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12542,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12604,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12611,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12622,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12625,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12628,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12634,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12635,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12648,yusiang,2017-03-16,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
12649,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12659,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12662,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12663,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13193,yusiang,2017-03-16,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13315,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13483,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13487,yusiang,2017-03-17,yusiang,ODS_UNB_0410,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
14325,user8,2017-03-20,user8,ODS_UNB_0410,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
14680,shiang,2017-03-23,shiang,ODS_UNB_0410,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
