,username,query_date,report_name,doc,start_date,end_date,is_period
9108,CSIS,2017-03-06,CSIS,FMT_POS_0320,2016-08-07,2016-08-16,True
9109,CSIS,2017-03-06,CSIS,FMT_POS_1570,2016-08-07,2016-08-16,True
9110,CSIS,2017-03-06,CSIS,FMT_POS_7210,2016-08-07,2016-08-16,True
9111,CSIS,2017-03-06,CSIS,FMT_POS_7220,2016-08-07,2016-08-16,True
9112,CSIS,2017-03-06,CSIS,FMT_POS_7230,2016-08-07,2016-08-16,True
9113,CSIS,2017-03-07,CSIS,FMT_PA_0850,2016-08-07,2016-08-16,True
9114,CSIS,2017-03-07,CSIS,FMT_PA_0851,2016-08-07,2016-08-16,True
9115,CSIS,2017-03-07,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
9116,CSIS,2017-03-07,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9117,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9118,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9119,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9120,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9121,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9122,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9123,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9139,CSIS,2017-03-07,CSIS,FMT_PA_0851,2016-08-07,2016-08-16,True
9140,CSIS,2017-03-07,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
9141,CSIS,2017-03-07,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9142,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9143,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9144,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9145,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9146,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9147,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9148,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9161,CSIS,2017-03-07,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
9162,CSIS,2017-03-07,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9163,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9164,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9165,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9166,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9167,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9168,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9169,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9170,CSIS,2017-03-07,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9171,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9172,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9173,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9174,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9175,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9176,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9177,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9178,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9179,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9180,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9181,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9182,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9183,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9184,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9185,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9186,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9187,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9188,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9189,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9190,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9191,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9192,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9193,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9194,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9195,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9196,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9197,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9198,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9199,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9214,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9215,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9216,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9217,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9218,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9219,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9220,CSIS,2017-03-07,CSIS,FMT_POS_7220,2016-08-07,2016-08-16,True
9221,CSIS,2017-03-07,CSIS,FMT_POS_7230,2016-08-07,2016-08-16,True
9484,CSIS,2017-03-07,CSIS,FMT_POS_0070,2016-08-07,2016-08-16,True
9485,CSIS,2017-03-07,CSIS,FMT_POS_0080,2016-08-07,2016-08-16,True
9486,CSIS,2017-03-07,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True
9487,CSIS,2017-03-07,CSIS,FMT_POS_0060,2016-08-07,2016-08-16,True
9488,CSIS,2017-03-07,CSIS,FMT_POS_0310,2016-08-07,2016-08-16,True
9489,CSIS,2017-03-07,CSIS,FMT_POS_0100,2016-08-07,2016-08-16,True
9490,CSIS,2017-03-07,CSIS,FMT_POS_0110,2016-08-07,2016-08-16,True
9491,CSIS,2017-03-07,CSIS,FMT_POS_0340,2016-08-07,2016-08-16,True
9492,CSIS,2017-03-07,CSIS,FMT_POS_0130,2016-08-07,2016-08-16,True
9493,CSIS,2017-03-07,CSIS,FMT_POS_0470,2016-08-07,2016-08-16,True
9494,CSIS,2017-03-07,CSIS,FMT_POS_0150,2016-08-07,2016-08-16,True
9495,CSIS,2017-03-07,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True
9496,CSIS,2017-03-07,CSIS,FMT_POS_0180,2016-08-07,2016-08-16,True
9497,CSIS,2017-03-07,CSIS,FMT_POS_0270,2016-08-07,2016-08-16,True
9498,CSIS,2017-03-07,CSIS,FMT_POS_0290,2016-08-07,2016-08-16,True
9499,CSIS,2017-03-07,CSIS,FMT_POS_0320,2016-08-07,2016-08-16,True
9500,CSIS,2017-03-07,CSIS,FMT_POS_1570,2016-08-07,2016-08-16,True
9501,CSIS,2017-03-07,CSIS,FMT_POS_7210,2016-08-07,2016-08-16,True
9502,CSIS,2017-03-07,CSIS,FMT_POS_7220,2016-08-07,2016-08-16,True
9503,CSIS,2017-03-07,CSIS,FMT_POS_7230,2016-08-07,2016-08-16,True
9504,CSIS,2017-03-07,CSIS,ODS_POS_1670,2016-08-07,2016-08-16,True
9505,CSIS,2017-03-07,CSIS,ODS_POS_7160,2016-08-07,2016-08-16,True
9506,CSIS,2017-03-07,CSIS,FMT_PA_0850,2016-08-07,2016-08-16,True
9507,CSIS,2017-03-07,CSIS,FMT_PA_0851,2016-08-07,2016-08-16,True
9508,CSIS,2017-03-07,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
9509,CSIS,2017-03-07,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9510,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9511,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9512,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9513,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9514,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9515,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9516,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9517,CSIS,2017-03-07,CSIS,ODS_POS_7160,2016-08-07,2016-08-16,True
9518,CSIS,2017-03-07,CSIS,FMT_PA_0850,2016-08-07,2016-08-16,True
9519,CSIS,2017-03-07,CSIS,FMT_PA_0851,2016-08-07,2016-08-16,True
9520,CSIS,2017-03-07,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
9521,CSIS,2017-03-07,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9522,CSIS,2017-03-07,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9523,CSIS,2017-03-07,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9524,CSIS,2017-03-07,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9525,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9526,CSIS,2017-03-07,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9527,CSIS,2017-03-07,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9528,CSIS,2017-03-07,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
9571,CSIS,2017-03-06,CSIS,FMT_POS_0070,2016-08-07,2016-08-16,True
9572,CSIS,2017-03-06,CSIS,FMT_POS_0080,2016-08-07,2016-08-16,True
9573,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True
9574,CSIS,2017-03-06,CSIS,FMT_POS_0060,2016-08-07,2016-08-16,True
9575,CSIS,2017-03-06,CSIS,FMT_POS_0310,2016-08-07,2016-08-16,True
9576,CSIS,2017-03-06,CSIS,FMT_POS_0100,2016-08-07,2016-08-16,True
9577,CSIS,2017-03-06,CSIS,FMT_POS_0110,2016-08-07,2016-08-16,True
9578,CSIS,2017-03-06,CSIS,FMT_POS_0340,2016-08-07,2016-08-16,True
9579,CSIS,2017-03-06,CSIS,FMT_POS_0130,2016-08-07,2016-08-16,True
9580,CSIS,2017-03-06,CSIS,FMT_POS_0470,2016-08-07,2016-08-16,True
9581,CSIS,2017-03-06,CSIS,FMT_POS_0150,2016-08-07,2016-08-16,True
9582,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True
9583,CSIS,2017-03-06,CSIS,FMT_POS_0180,2016-08-07,2016-08-16,True
9584,CSIS,2017-03-06,CSIS,FMT_POS_0270,2016-08-07,2016-08-16,True
9585,CSIS,2017-03-06,CSIS,FMT_POS_0290,2016-08-07,2016-08-16,True
9586,CSIS,2017-03-06,CSIS,FMT_POS_0320,2016-08-07,2016-08-16,True
9587,CSIS,2017-03-06,CSIS,FMT_POS_1570,2016-08-07,2016-08-16,True
9588,CSIS,2017-03-06,CSIS,FMT_POS_7210,2016-08-07,2016-08-16,True
9589,CSIS,2017-03-06,CSIS,FMT_POS_7220,2016-08-07,2016-08-16,True
9590,CSIS,2017-03-06,CSIS,FMT_POS_7230,2016-08-07,2016-08-16,True
9591,CSIS,2017-03-06,CSIS,ODS_POS_1670,2016-08-07,2016-08-16,True
9592,CSIS,2017-03-06,CSIS,ODS_POS_7160,2016-08-07,2016-08-16,True
9593,CSIS,2017-03-06,CSIS,FMT_PA_0850,2016-08-07,2016-08-16,True
9594,CSIS,2017-03-06,CSIS,FMT_PA_0851,2016-08-07,2016-08-16,True
9595,CSIS,2017-03-06,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
9596,CSIS,2017-03-06,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
9597,CSIS,2017-03-06,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
9598,CSIS,2017-03-06,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
9599,CSIS,2017-03-06,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
9600,CSIS,2017-03-06,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
9601,CSIS,2017-03-06,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
9602,CSIS,2017-03-06,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
9603,CSIS,2017-03-06,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
21141,CSIS,2017-04-01,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True
21142,CSIS,2017-04-01,CSIS,FMT_CLM_0010,2016-07-15,2016-09-17,True
28472,CSIS,2017-04-14,CSIS,FMT_POS_0070,2016-08-07,2016-08-16,True
28473,CSIS,2017-04-14,CSIS,FMT_POS_0080,2016-08-07,2016-08-16,True
28474,CSIS,2017-04-14,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True
28475,CSIS,2017-04-14,CSIS,FMT_POS_0060,2016-08-07,2016-08-16,True
28476,CSIS,2017-04-14,CSIS,FMT_POS_0310,2016-08-07,2016-08-16,True
28477,CSIS,2017-04-14,CSIS,FMT_POS_0100,2016-08-07,2016-08-16,True
28478,CSIS,2017-04-14,CSIS,FMT_POS_0110,2016-08-07,2016-08-16,True
28479,CSIS,2017-04-14,CSIS,FMT_POS_0340,2016-08-07,2016-08-16,True
28480,CSIS,2017-04-14,CSIS,FMT_POS_0130,2016-08-07,2016-08-16,True
28481,CSIS,2017-04-14,CSIS,FMT_POS_0470,2016-08-07,2016-08-16,True
28482,CSIS,2017-04-14,CSIS,FMT_POS_0150,2016-08-07,2016-08-16,True
28483,CSIS,2017-04-14,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True
28484,CSIS,2017-04-14,CSIS,FMT_POS_0180,2016-08-07,2016-08-16,True
28485,CSIS,2017-04-14,CSIS,FMT_POS_0270,2016-08-07,2016-08-16,True
28486,CSIS,2017-04-14,CSIS,FMT_POS_0290,2016-08-07,2016-08-16,True
28487,CSIS,2017-04-14,CSIS,FMT_POS_0320,2016-08-07,2016-08-16,True
28488,CSIS,2017-04-14,CSIS,FMT_POS_1570,2016-08-07,2016-08-16,True
28489,CSIS,2017-04-14,CSIS,FMT_POS_7210,2016-08-07,2016-08-16,True
28490,CSIS,2017-04-14,CSIS,FMT_POS_7220,2016-08-07,2016-08-16,True
28491,CSIS,2017-04-14,CSIS,FMT_POS_7230,2016-08-07,2016-08-16,True
28492,CSIS,2017-04-14,CSIS,ODS_POS_1670,2016-08-07,2016-08-16,True
28493,CSIS,2017-04-14,CSIS,ODS_POS_7160,2016-08-07,2016-08-16,True
28494,CSIS,2017-04-14,CSIS,FMT_PA_0850,2016-08-07,2016-08-16,True
28495,CSIS,2017-04-14,CSIS,FMT_PA_0851,2016-08-07,2016-08-16,True
28496,CSIS,2017-04-14,CSIS,FMT_PA_0852,2016-08-07,2016-08-16,True
28497,CSIS,2017-04-14,CSIS,FMT_PA_0853,2016-08-07,2016-08-16,True
28498,CSIS,2017-04-14,CSIS,FMT_PA_0854,2016-08-07,2016-08-16,True
28499,CSIS,2017-04-14,CSIS,FMT_PA_0855,2016-08-07,2016-08-16,True
28500,CSIS,2017-04-14,CSIS,FMT_PA_0930,2016-08-07,2016-08-16,True
28501,CSIS,2017-04-14,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True
28502,CSIS,2017-04-14,CSIS,FMT_PA_0780,2016-08-07,2016-08-16,True
28503,CSIS,2017-04-14,CSIS,FMT_PA_0790,2016-08-07,2016-08-16,True
28504,CSIS,2017-04-14,CSIS,FMT_PA_0710,2016-08-07,2016-08-16,True
28616,CSIS,2017-04-13,CSIS,FMT_POS_0060,,2017-04-13,True
28618,CSIS,2017-04-13,CSIS,FMT_POS_0060,,2017-04-13,True
