,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
13708,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,20,1,2017,2,27,1,2017,2,27,1
13840,000768,2017-03-20,000768,LS_INV_0030,2017-02-07,2017-02-07,True,2017,3,20,1,2017,2,7,2,2017,2,7,2
13914,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,20,1,2017,2,27,1,2017,2,27,1
13935,000768,2017-03-20,000768,LS_INV_0030,2017-02-07,2017-02-07,True,2017,3,20,1,2017,2,7,2,2017,2,7,2
14136,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,20,1,2017,2,27,1,2017,2,27,1
14288,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,20,1,2017,2,27,1,2017,2,27,1
14870,000768,2017-03-22,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,22,3,2017,2,27,1,2017,2,27,1
14872,000768,2017-03-22,000768,LS_INV_0030,2017-02-02,2017-02-02,True,2017,3,22,3,2017,2,2,4,2017,2,2,4
15780,000768,2017-03-21,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,21,2,2017,2,27,1,2017,2,27,1
15831,000768,2017-03-21,000768,LS_INV_0030,2017-02-02,2017-02-02,True,2017,3,21,2,2017,2,2,4,2017,2,2,4
15841,000768,2017-03-21,000768,LS_INV_0030,2017-02-07,2017-02-07,True,2017,3,21,2,2017,2,7,2,2017,2,7,2
15871,000768,2017-03-22,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,22,3,2017,2,27,1,2017,2,27,1
16964,000768,2017-03-22,000768,LS_INV_0030,2017-01-10,2017-01-10,True,2017,3,22,3,2017,1,10,2,2017,1,10,2
19150,000768,2017-03-29,000768,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,29,3,2017,2,27,1,2017,2,27,1
20069,000768,2017-03-28,000768,LS_INV_0030,2017-03-01,2017-03-01,True,2017,3,28,2,2017,3,1,3,2017,3,1,3
20070,000768,2017-03-28,000768,LS_INV_0030,2017-03-01,2017-03-01,True,2017,3,28,2,2017,3,1,3,2017,3,1,3
21559,000768,2017-04-05,000768,LS_INV_0030,2017-04-01,2017-04-01,True,2017,4,5,3,2017,4,1,6,2017,4,1,6
22558,000768,2017-04-05,000768,LS_INV_0030,2017-01-03,2017-01-03,True,2017,4,5,3,2017,1,3,2,2017,1,3,2
23167,000768,2017-04-06,000768,LS_INV_0030,2017-03-31,2017-03-31,True,2017,4,6,4,2017,3,31,5,2017,3,31,5
23168,000768,2017-04-06,000768,LS_INV_0030,2017-03-31,2017-03-31,True,2017,4,6,4,2017,3,31,5,2017,3,31,5
23816,000768,2017-04-07,000768,LS_INV_0030,2017-03-14,2017-03-14,True,2017,4,7,5,2017,3,14,2,2017,3,14,2
23817,000768,2017-04-07,000768,LS_INV_0030,2017-03-21,2017-03-21,True,2017,4,7,5,2017,3,21,2,2017,3,21,2
23820,000768,2017-04-07,000768,LS_INV_0030,2017-03-22,2017-03-22,True,2017,4,7,5,2017,3,22,3,2017,3,22,3
24156,000768,2017-04-06,000768,LS_INV_0030,2017-03-31,2017-03-31,True,2017,4,6,4,2017,3,31,5,2017,3,31,5
25702,000768,2017-04-07,000768,LS_INV_0030,2017-03-21,2017-03-21,True,2017,4,7,5,2017,3,21,2,2017,3,21,2
25703,000768,2017-04-07,000768,LS_INV_0030,2017-03-21,2017-03-21,True,2017,4,7,5,2017,3,21,2,2017,3,21,2
25704,000768,2017-04-07,000768,LS_INV_0030,2017-03-27,2017-03-27,True,2017,4,7,5,2017,3,27,1,2017,3,27,1
25705,000768,2017-04-07,000768,LS_INV_0030,2017-03-28,2017-03-28,True,2017,4,7,5,2017,3,28,2,2017,3,28,2
25706,000768,2017-04-07,000768,LS_INV_0030,2017-03-01,2017-03-01,True,2017,4,7,5,2017,3,1,3,2017,3,1,3
30866,000768,2017-04-18,000768,LS_INV_0030,2017-04-05,2017-04-05,True,2017,4,18,2,2017,4,5,3,2017,4,5,3
