,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
6067,000442,2017-02-10,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6069,000442,2017-02-10,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6070,000442,2017-02-10,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6171,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6329,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6330,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6331,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6332,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6333,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6383,000442,2017-02-09,000442,ODS_FIN_0350,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
10434,000442,2017-03-11,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,11,6,0,0,0,0,0,0,0,0
11589,000442,2017-03-15,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
14629,000442,2017-03-22,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
14667,000442,2017-03-21,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
14959,000442,2017-03-22,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17080,000442,2017-03-22,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17082,000442,2017-03-22,000442,ODS_FIN_0350,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
25914,000442,2017-04-07,000442,ODS_FIN_0350,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
29043,000442,2017-04-13,000442,ODS_FIN_0350,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
31857,000442,2017-04-20,000442,ODS_FIN_0350,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
